player,level,world,pos,tries,stars,restarts,coins,springs,ramps,chests,canBuyRamps,canBuySprings,canBuyCosmetic,offerContinue,offerDouble,offerSpring,offerStuck,offerWheel,adsWatched,flag
typical,1,1,1,2,2,0,114,0,0,0,2,1,no,0,1,0,0,0,0,
typical,2,1,2,2,2,0,128,0,1,0,4,2,no,0,1,0,0,0,0,
typical,3,1,3,1,3,0,163,0,1,0,5,2,no,0,1,0,0,0,0,
typical,4,1,4,2,2,0,177,0,1,0,5,2,no,0,1,0,0,0,0,
typical,5,1,5,3,2,0,205,0,1,0,6,4,yes,0,1,0,0,0,1,
typical,6,1,6,3,2,0,233,0,4,0,6,4,yes,0,1,0,0,0,1,
typical,7,1,7,3,2,0,247,0,4,0,8,5,yes,0,1,0,0,0,0,
typical,8,1,8,3,2,0,275,0,5,0,8,5,yes,0,1,0,0,1,1,
typical,9,1,9,1,3,0,310,0,5,0,9,6,yes,0,1,0,0,0,0,
typical,10,1,10,3,2,0,373,2,5,0,12,8,yes,0,1,0,0,0,1,
typical,11,1,11,3,2,0,387,2,5,0,12,8,yes,0,1,0,0,0,0,
typical,12,1,12,2,2,0,416,2,5,0,14,8,yes,0,1,0,0,0,0,
typical,13,1,13,2,2,0,465,2,5,0,15,9,yes,0,1,0,0,0,0,
typical,14,1,14,3,2,0,608,3,5,1,20,14,yes,0,1,0,0,0,1,
typical,15,1,15,3,2,0,622,3,5,1,20,14,yes,0,1,0,0,0,0,
typical,16,1,16,2,2,0,650,3,6,1,22,14,yes,0,1,0,0,1,1,
typical,17,1,17,3,2,0,664,2,6,1,22,15,yes,0,1,0,0,0,0,
typical,18,1,18,3,2,0,693,1,6,1,23,15,yes,0,1,0,0,0,0,
typical,19,1,19,3,2,0,707,0,6,1,23,15,yes,0,1,0,0,0,0,
typical,20,1,20,4,1,0,737,0,6,1,24,16,yes,0,1,1,0,0,1,
typical,21,2,1,1,3,0,763,0,7,1,26,16,yes,0,1,0,0,0,0,
typical,22,2,2,3,2,0,782,0,7,1,26,18,yes,0,1,0,0,0,0,
typical,23,2,3,2,2,0,836,0,7,1,28,18,yes,0,1,0,0,0,0,
typical,24,2,4,2,2,0,889,0,10,1,30,19,yes,0,1,0,0,1,2,
typical,25,2,5,2,2,0,967,0,10,1,33,22,yes,0,1,0,0,0,1,
typical,26,2,6,2,2,0,986,0,10,1,33,22,yes,0,1,0,0,0,0,
typical,27,2,7,2,2,0,1085,0,10,1,37,24,yes,0,1,0,0,0,0,
typical,28,2,8,3,2,0,1104,1,10,1,37,24,yes,0,1,0,0,0,0,
typical,29,2,9,3,2,0,1248,1,11,2,43,28,yes,0,1,0,0,0,0,
typical,30,2,10,2,2,0,1366,1,11,2,47,30,yes,0,1,0,0,0,1,
typical,31,2,11,2,2,0,1465,1,10,2,50,33,yes,0,1,0,0,0,0,
typical,32,2,12,4,1,1,1588,1,10,2,54,36,yes,1,1,0,0,1,2,HOARD
typical,33,2,13,2,2,0,1607,1,10,2,56,36,yes,0,1,0,0,0,0,HOARD
typical,34,2,14,3,2,0,1660,1,10,2,57,37,yes,0,1,0,0,0,1,HOARD
typical,35,2,15,3,2,0,1713,1,10,2,58,38,yes,0,1,0,0,0,1,HOARD
typical,36,2,16,5,1,1,1741,2,10,2,60,40,yes,1,1,0,0,0,1,HOARD
typical,37,2,17,4,1,0,1769,1,10,2,61,40,yes,0,1,0,0,0,1,HOARD
typical,38,2,18,4,1,0,1783,0,11,2,61,40,yes,0,1,0,0,0,0,HOARD
typical,39,2,19,4,1,0,1751,0,11,2,60,40,yes,0,1,1,0,0,1,HOARD
typical,40,2,20,2,2,0,1769,0,11,2,61,40,yes,0,1,1,0,1,1,HOARD
typical,41,3,1,3,2,0,1793,0,11,2,61,40,yes,0,1,0,0,0,0,HOARD
typical,42,3,2,2,2,0,1817,0,11,2,62,42,yes,0,1,0,0,0,0,HOARD
typical,43,3,3,2,2,0,1865,1,11,2,64,43,yes,0,1,0,0,0,1,HOARD
typical,44,3,4,4,1,0,1898,1,11,2,65,43,yes,1,1,0,0,0,1,HOARD
typical,45,3,5,3,2,0,1957,1,11,2,66,44,yes,0,1,0,0,0,0,HOARD
typical,46,3,6,3,2,0,2020,1,11,2,70,46,yes,0,1,0,0,0,1,HOARD
typical,47,3,7,4,1,0,2038,1,13,2,70,46,yes,1,1,0,0,0,1,HOARD
typical,48,3,8,3,2,0,2227,2,14,3,76,51,yes,0,1,0,0,1,0,HOARD
typical,49,3,9,3,2,0,2266,2,14,3,78,51,yes,0,1,0,0,0,0,HOARD
typical,50,3,10,4,1,1,2352,2,14,3,80,54,yes,1,1,0,0,0,1,HOARD
typical,51,3,11,4,1,1,2370,2,14,3,82,54,yes,1,1,0,0,0,0,HOARD
typical,52,3,12,2,2,0,2429,2,13,3,84,56,yes,0,1,0,0,0,0,HOARD
typical,53,3,13,2,2,0,2453,2,13,3,85,56,yes,0,1,0,0,0,0,HOARD
typical,54,3,14,2,2,0,2492,2,12,3,86,57,yes,0,1,0,0,0,0,HOARD
typical,55,3,15,4,1,1,2528,2,12,3,88,58,yes,1,1,0,0,0,1,HOARD
typical,56,3,16,4,1,0,2599,2,13,3,89,60,yes,1,1,0,0,1,2,HOARD
typical,57,3,17,2,2,0,2658,1,12,3,92,61,yes,0,1,0,0,0,0,HOARD
typical,58,3,18,5,1,0,2676,0,12,3,92,61,yes,0,1,0,0,0,0,HOARD
typical,59,3,19,3,2,0,2640,0,11,3,92,61,yes,0,1,1,0,0,0,HOARD
typical,60,3,20,2,2,0,2604,0,10,3,90,60,yes,0,1,1,0,0,0,HOARD
typical,61,4,1,2,2,0,2662,0,10,3,92,61,yes,0,1,0,0,0,1,HOARD
typical,62,4,2,3,2,0,2755,0,10,3,94,62,yes,0,1,0,0,0,1,HOARD
typical,63,4,3,2,2,0,2813,0,10,3,98,64,yes,0,1,0,0,0,1,HOARD
typical,64,4,4,2,2,0,3071,0,10,3,106,71,yes,0,1,0,0,1,1,HOARD
typical,65,4,5,3,2,0,3275,0,12,4,113,75,yes,0,1,0,0,0,0,HOARD
typical,66,4,6,4,1,0,3399,0,12,4,117,78,yes,1,1,0,0,0,2,HOARD
typical,67,4,7,4,1,0,3436,0,12,4,118,79,yes,1,1,0,0,0,1,HOARD
typical,68,4,8,2,2,0,3494,0,12,4,121,80,yes,0,1,0,0,0,1,HOARD
typical,69,4,9,3,2,0,3552,0,12,4,122,82,yes,0,1,0,0,0,1,HOARD
typical,70,4,10,3,2,0,3610,0,11,4,126,84,yes,0,1,0,0,0,1,HOARD
typical,71,4,11,4,1,0,3654,0,12,4,127,84,yes,1,1,0,0,0,2,HOARD
typical,72,4,12,2,2,0,3718,0,12,4,128,85,yes,0,1,0,0,1,0,HOARD
typical,73,4,13,5,1,0,3740,0,12,4,130,86,yes,1,1,0,0,0,1,HOARD
typical,74,4,14,5,1,0,3784,0,12,4,131,88,yes,1,1,0,0,0,2,HOARD
typical,75,4,15,2,2,0,3842,0,12,4,134,89,yes,0,1,0,0,0,1,HOARD
typical,76,4,16,5,1,0,3879,0,12,4,134,89,yes,1,1,0,0,0,1,HOARD
typical,77,4,17,2,2,0,3848,0,11,4,134,89,yes,0,1,1,0,0,0,HOARD
typical,78,4,18,3,2,0,3817,0,10,4,132,88,yes,0,1,1,0,0,0,HOARD
typical,79,4,19,5,1,0,3836,0,10,4,132,88,yes,0,1,1,0,0,1,HOARD
typical,80,4,20,2,2,0,3825,0,9,4,132,88,yes,0,1,1,0,1,0,HOARD
typical,81,5,1,3,2,0,3908,0,9,4,135,90,yes,0,1,0,0,0,1,HOARD
typical,82,5,2,4,1,1,3934,0,9,4,136,90,yes,1,1,0,0,0,0,HOARD
typical,83,5,3,3,2,0,3968,0,9,4,138,92,yes,0,1,0,0,0,0,HOARD
typical,84,5,4,3,2,0,4271,1,9,5,148,99,yes,0,1,0,0,0,1,HOARD
typical,85,5,5,3,2,0,4339,1,9,5,150,100,yes,0,1,0,0,0,1,HOARD
typical,86,5,6,2,2,0,4373,2,8,5,152,100,yes,0,1,0,0,0,0,HOARD
typical,87,5,7,5,1,1,4399,3,8,5,152,102,yes,1,1,0,0,0,0,HOARD
typical,88,5,8,5,1,1,4480,3,8,5,156,103,yes,1,1,0,0,1,0,HOARD
typical,89,5,9,2,2,0,4548,3,7,5,158,104,yes,0,1,0,0,0,1,HOARD
typical,90,5,10,3,2,0,4616,3,6,5,160,106,yes,0,1,0,0,0,1,HOARD
